FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
57,Jinsha,32.089799999999997,121.073500000000000,38.299999999999997,0.6872860,132.0670013,10.7195997,57.5684013,10225.0996094,102.4059982,63.2065010,2129,7,-837492.445526000000000,-396011.138564999970000
58,Juegang,32.317399999999999,121.185500000000000,35.799999999999997,0.4029320,127.3629990,16.3446007,60.3470993,10225.0996094,82.3162003,64.7310028,2313,8,-825001.420362000000000,-371809.867952000000000
59,Kunshan,31.377600000000001,120.954300000000000,63.100000000000001,0.5079530,176.3739929,-37.9790993,37.6453018,10224.0996094,287.2959900,49.5438995,1977,15,-855131.909891000020000,-473644.952591000010000
60,Licheng,31.428100000000001,119.483500000000010,35.500000000000000,0.7918780,195.0000000,-61.9950981,30.9358997,10225.0000000,319.9979858,30.0002003,1949,10,-992185.425903000050000,-454135.302704999980000
61,Mudu,31.256000000000000,120.518600000000010,56.100000000000001,0.2174960,177.1360016,-24.3395004,40.0546989,10222.9003906,277.9280090,42.8331985,1996,9,-897110.388310999960000,-483150.540847000030000
62,Nanjing,32.061700000000002,118.777800000000000,18.500000000000000,0.2745810,190.1510010,-73.1250000,29.9158993,10227.2998047,287.2109985,38.4961014,1240,23,-1050725.230460000000000,-376875.616416000000000
63,Nantong,32.030299999999997,120.874700000000000,29.000000000000000,1.1540800,144.2689972,-4.0997200,50.8813019,10223.7998047,148.1089935,57.4770012,1968,6,-856544.748798000040000,-400858.268166000020000
64,Pizhou,34.311399999999999,117.950300000000000,22.899999999999999,0.3378170,169.4830017,-71.6847000,32.9373016,10218.4003906,291.6400146,39.7062988,1564,27,-1098516.240560000100000,-119579.262072000000000
65,Qinnan,33.253100000000003,119.913300000000010,25.300000000000001,0.7288620,151.1739960,-20.1462994,45.7459984,10221.7998047,108.4530029,53.1020012,3168,2,-933053.626501000020000,-256909.325114000010000
66,Songling,31.193300000000001,120.717600000000000,56.600000000000001,0.2809720,176.2079926,-24.7038994,40.1458015,10223.0996094,281.8840027,45.5651016,3142,5,-879031.180062000060000,-491882.505087000030000
